name,Symptoms,General Description,Treatment
Lymphoma,"Swollen lymph nodes, unexplained weight loss, fatigue","A type of blood cancer affecting lymphocytes, categorized as Hodgkin or non-Hodgkin lymphoma, often presenting with swollen lymph nodes, fatigue, and fever.","Chemotherapy (e.g., CHOP regimen). Radiation therapy for localized disease. Targeted therapies (e.g., rituximab). Stem cell transplantation for refractory cases."
Dermatitis due to Sun Exposure,"Redness, itching, rash, blistering","Inflammation of the skin caused by prolonged UV exposure, leading to redness, pain, and sometimes blistering.","Cooling measures (e.g., cold compresses). Topical corticosteroids to reduce inflammation. Oral NSAIDs for pain. Sun protection to prevent future episodes."
Anemia due to Chronic Kidney Disease,"Fatigue, weakness, pale skin",A decrease in red blood cell count due to insufficient erythropoietin production by damaged kidneys.,"Erythropoiesis-stimulating agents (e.g., epoetin alfa). Iron supplements (oral or intravenous). Blood transfusions in severe cases. Treating underlying kidney disease."
Injury to Internal Organ,"Abdominal pain, bleeding, organ dysfunction","Damage to organs like the liver, spleen, or kidneys due to trauma, causing pain, bleeding, or loss of function.","Monitoring and supportive care for minor injuries. Surgery (e.g., laparotomy) for severe injuries or bleeding. Blood transfusions if significant blood loss occurs."
Scleritis,"Eye redness, severe eye pain, blurred vision","Inflammation of the sclera (white of the eye), causing severe pain, redness, and potential vision impairment, often linked to autoimmune diseases.","NSAIDs for mild cases. Corticosteroids (oral or topical) for moderate cases. Immunosuppressive drugs (e.g., methotrexate) for severe or autoimmune-associated scleritis."
Pterygium,Growth on the conjunctiva (white part of the eye),"A benign growth of conjunctival tissue on the cornea, often related to UV exposure, causing irritation and vision issues.",Lubricating eye drops or gels for mild cases. Topical corticosteroids for inflammation. Surgical removal if vision is impaired or irritation is severe.
Fungal Infection of the Skin,"Rash, itching, redness, peeling skin","Infection of the skin caused by fungi, such as dermatophytes or yeast, leading to redness, itching, scaling, or lesions.","Topical antifungals (e.g., clotrimazole, terbinafine). Oral antifungals (e.g., fluconazole, itraconazole) for widespread or severe cases. Maintaining skin dryness and hygiene."
Insulin Overdose,"Low blood sugar (hypoglycemia) symptoms (e.g., confusion, sweating)","Excessive insulin administration causes hypoglycemia, leading to symptoms like sweating, confusion, tremors, or even seizures and loss of consciousness.",Immediate consumption of glucose or sugary foods if conscious. Intravenous dextrose in severe cases. Glucagon injection for unconscious patients. Monitoring blood glucose levels and adjusting insulin dosages.
Syndrome of Inappropriate Secretion of ADH (SIADH),"Excessively concentrated urine, low blood sodium levels","A condition characterized by excessive antidiuretic hormone (ADH) secretion, leading to water retention and low sodium levels (hyponatremia).","Fluid restriction. Administration of hypertonic saline in severe hyponatremia. Vasopressin receptor antagonists (e.g., tolvaptan). Treating underlying causes (e.g., tumors or medications)."
Premenstrual Tension Syndrome,"Mood swings, bloating, breast tenderness, irritability","A group of emotional and physical symptoms occurring before menstruation, including mood swings, bloating, and fatigue.","Lifestyle changes, including regular exercise and a balanced diet. NSAIDs for pain. Hormonal contraceptives to regulate cycles. SSRIs for severe mood symptoms."
Orbital Cellulitis,"Eye pain, swelling, redness, vision changes","A serious infection of the tissues surrounding the eye, often caused by sinus infections, leading to swelling, pain, and potential vision loss.","Intravenous antibiotics (e.g., ceftriaxone, vancomycin). Surgical drainage for abscesses. Close monitoring to prevent complications like vision loss or brain infection."
Injury to the Leg,"Pain, swelling, bruising, difficulty walking","Trauma to the leg can result in fractures, sprains, contusions, or soft tissue injuries, causing pain, swelling, and functional limitations.","Rest, ice, compression, and elevation (RICE) for minor injuries. Pain management with NSAIDs. Surgery or immobilization for fractures or severe injuries. Physical therapy for rehabilitation."
Hepatic Encephalopathy,"Confusion, forgetfulness, personality changes, tremors","A decline in brain function due to liver dysfunction, causing confusion, altered consciousness, and neurological symptoms.","Lactulose to reduce ammonia levels. Antibiotics like rifaximin to decrease gut bacteria producing ammonia. Addressing underlying liver disease or triggers (e.g., infections, dehydration)."
Bone Cancer,"Bone pain, fractures, fatigue, unexplained weight loss","A malignant tumor in the bone, such as osteosarcoma or chondrosarcoma, causing pain, swelling, and fractures.","Surgery to remove the tumor. Chemotherapy (e.g., methotrexate, doxorubicin). Radiation therapy. Targeted therapies for specific cancer types."
Leishmaniasis,"Skin sores, fever, weight loss, enlarged spleen or liver","A parasitic disease caused by Leishmania, transmitted by sandfly bites, presenting as cutaneous sores, mucosal damage, or visceral organ involvement.","Antiparasitic medications (e.g., amphotericin B, miltefosine). Topical or systemic treatments for cutaneous forms. Supportive care for severe cases."
Chagas Disease,"Fever, fatigue, body aches, heart and digestive problems","A parasitic infection caused by Trypanosoma cruzi, transmitted by triatomine bugs, leading to acute symptoms and chronic cardiac or gastrointestinal complications.","Antiparasitic drugs (e.g., benznidazole, nifurtimox). Management of complications like heart failure or arrhythmias. Monitoring for disease progression."
Syringomyelia,"Muscle weakness, loss of sensation, chronic pain","A fluid-filled cyst (syrinx) forms in the spinal cord, causing pain, weakness, and sensory deficits.","Surgical drainage of the syrinx. Addressing underlying causes (e.g., Chiari malformation). Physical therapy for symptom management."
Pulmonary Fibrosis,"Shortness of breath, dry cough, fatigue","A chronic condition characterized by scarring of lung tissue, leading to progressive shortness of breath and reduced lung function.","Antifibrotic medications (e.g., pirfenidone, nintedanib). Oxygen therapy. Lung transplantation for advanced disease. Managing underlying causes or triggers."
Mitral Valve Disease,"Fatigue, shortness of breath, heart palpitations","A condition affecting the mitral valve, such as stenosis or regurgitation, causing symptoms like fatigue, shortness of breath, and palpitations.","Medications like diuretics, beta-blockers, or anticoagulants. Mitral valve repair or replacement surgery. Percutaneous mitral balloon valvuloplasty for stenosis."
Parkinson Disease,"Tremors, stiffness, slowness of movement","A neurodegenerative disorder characterized by tremors, rigidity, bradykinesia, and postural instability due to dopamine deficiency.","Dopaminergic medications (e.g., levodopa, carbidopa). MAO-B inhibitors (e.g., selegiline). Deep brain stimulation for refractory cases. Physical and occupational therapy."
Gout,"Intense joint pain, swelling, redness","A form of arthritis caused by uric acid crystal buildup in joints, leading to sudden, severe pain and swelling, often in the big toe.","NSAIDs (e.g., ibuprofen). Colchicine to reduce inflammation. Corticosteroids for severe attacks. Long-term uric acid-lowering therapy (e.g., allopurinol, febuxostat)."
Otitis Media,"Ear pain, fever, fluid drainage from the ear","Inflammation or infection of the middle ear, common in children, causing ear pain, fever, and hearing loss.","Observation for mild cases. Antibiotics (e.g., amoxicillin) for bacterial infections. Myringotomy with tympanostomy tube placement for recurrent cases."
Myelodysplastic Syndrome,"Fatigue, frequent infections, easy bruising or bleeding","A group of disorders caused by poorly formed or dysfunctional blood cells in the bone marrow, leading to anemia, infections, and bleeding.","Blood transfusions to manage anemia. Erythropoiesis-stimulating agents (e.g., epoetin alfa). Chemotherapy (e.g., azacitidine, decitabine). Bone marrow or stem cell transplantation for eligible patients."
Fracture of the Shoulder,"Shoulder pain, swelling, limited range of motion","A break in the bones of the shoulder (clavicle, scapula, or proximal humerus), causing pain, swelling, and difficulty moving the arm.",Immobilization with a sling or brace. Pain management with NSAIDs or acetaminophen. Physical therapy for rehabilitation. Surgery for severe or displaced fractures.
Acute Kidney Injury,"Decreased urine output, fluid retention, fatigue","A sudden loss of kidney function, leading to an accumulation of waste products in the blood and disturbances in electrolyte balance.","Addressing underlying causes (e.g., dehydration, infections, toxins). Intravenous fluids for volume depletion. Diuretics for fluid overload. Dialysis in severe cases."
Threatened Pregnancy,"Vaginal bleeding, abdominal cramps, pelvic pain","Vaginal bleeding during the first 20 weeks of pregnancy, suggesting a risk of miscarriage but with a viable fetus on ultrasound.",Bed rest or activity modification. Progesterone supplementation in some cases. Avoidance of heavy lifting or stress. Close monitoring with ultrasound and blood tests.
Intracranial Abscess,"Headache, fever, neurological deficits","A localized collection of pus in the brain caused by infection, leading to headaches, fever, neurological symptoms, or seizures.","Intravenous antibiotics (e.g., ceftriaxone, metronidazole). Surgical drainage for large or refractory abscesses. Anticonvulsants if seizures occur. Management of the primary source of infection."
Gum Disease,"Swollen, red, tender gums, bleeding gums","Inflammation or infection of the gums, often caused by poor oral hygiene, leading to redness, swelling, and bleeding.","Practice proper oral hygiene, including brushing and flossing. Use antimicrobial mouthwashes. Perform professional dental cleaning or scaling. Consider surgery for advanced cases (e.g., flap surgery or bone grafts)."
Open Wound from Surgical Incision,"Redness, swelling, discharge from the wound","A wound resulting from a surgical procedure, which requires proper care to prevent infection and promote healing.",Keep the wound clean and dry. Use prescribed antibiotics if signs of infection are present. Apply wound dressings as instructed. Remove sutures or staples per medical advice.
Gastrointestinal Hemorrhage,"Abdominal pain, vomiting blood, bloody or black stools","Bleeding in the gastrointestinal tract, which may cause symptoms like vomiting blood or black stools.",Perform endoscopic procedures to identify and treat the bleeding source. Administer blood transfusions if needed. Use proton pump inhibitors for ulcers. Perform surgery for severe or unmanageable bleeding.
Seborrheic Dermatitis,"Red, itchy, and oily patches of skin, dandruff, flaky scalp","A chronic skin condition causing red, scaly, and itchy patches, often in oily areas like the scalp and face.",Use medicated shampoos containing ketoconazole or selenium sulfide. Apply topical corticosteroids or antifungal creams. Maintain regular skin hygiene.
Drug Abuse (Methamphetamine),"Increased energy and alertness, decreased appetite, rapid heartbeat","Abuse of methamphetamine, a stimulant drug, leading to addiction and severe health consequences, including dental decay, weight loss, and mood changes.",Engage in behavioral therapy and counseling. Use medication-assisted treatment for withdrawal symptoms. Provide supportive care for physical health issues.
Torticollis,"Neck pain, stiffness, and abnormal head positioning","A condition causing the neck to twist abnormally, resulting in pain and restricted movement.",Perform physical therapy and stretching exercises. Use muscle relaxants or pain relievers. Consider botulinum toxin injections for severe cases. Perform surgery if conservative treatments fail.
Antihypertensives Poisoning,"Dizziness, low blood pressure, slow heart rate, nausea, vomiting","Overdose of antihypertensive medications leading to dangerously low blood pressure, dizziness, or organ damage.",Administer activated charcoal if within a few hours of ingestion. Provide intravenous fluids to maintain blood pressure. Use vasopressors or antidotes like calcium gluconate for specific drugs.
Tension Headache,"Mild to moderate head pain, tightness or pressure sensation on both sides of head","A common type of headache characterized by dull, aching pain and tightness in the head and neck.",Use over-the-counter pain relievers like ibuprofen or acetaminophen. Practice stress management techniques. Perform physical therapy or relaxation exercises.
Alcohol Intoxication,"Slurred speech, impaired coordination, confusion","Excessive alcohol consumption leading to impaired physical and mental functioning, with potential health risks.","Provide supportive care, including hydration. Administer thiamine and glucose for severe cases. Monitor for complications like respiratory depression."
Scurvy,"Fatigue, swollen and bleeding gums, joint pain","A condition caused by vitamin C deficiency, leading to symptoms like bleeding gums, bruising, and fatigue.","Increase dietary intake of vitamin C through fruits and vegetables. Use vitamin C supplements. Treat any complications, such as anemia or infections."
Narcolepsy,"Excessive daytime sleepiness, sudden loss of muscle tone (cataplexy)",A chronic sleep disorder causing excessive daytime sleepiness and sudden episodes of muscle weakness (cataplexy).,Use stimulant medications like modafinil or methylphenidate. Prescribe sodium oxybate for cataplexy. Implement regular sleep schedules and lifestyle modifications.
Food Allergy,"Rash, itching, swelling, difficulty breathing, gastrointestinal symptoms","An immune reaction to certain foods, leading to symptoms like itching, swelling, or anaphylaxis.","Avoid allergenic foods. Use antihistamines for mild reactions. Administer epinephrine for severe, life-threatening reactions."
Labyrinthitis,"Vertigo, dizziness, nausea, hearing loss, ear pain","Inflammation of the inner ear, leading to vertigo, dizziness, and hearing loss.",Use anti-nausea medications or vestibular suppressants. Administer corticosteroids for inflammation. Treat any underlying infection with antibiotics or antivirals.
Anxiety,"Excessive worrying, restlessness, increased heart rate, panic attacks","A mental health condition characterized by excessive worry, nervousness, and fear.",Engage in cognitive-behavioral therapy (CBT). Use medications like SSRIs or benzodiazepines for short-term relief. Practice relaxation techniques and mindfulness.
Impulse Control Disorder,"Impulsive behaviors (e.g., gambling, stealing), difficulty resisting urges","A group of mental health conditions where individuals struggle to resist harmful impulses, such as kleptomania or pyromania.",Engage in behavioral therapy and counseling. Use medications like SSRIs for mood stabilization. Provide support groups or specialized therapy for specific disorders.
Stenosis of the Tear Duct,"Excessive tearing, eye discharge, recurrent eye infections","A blockage or narrowing of the tear duct, leading to excessive tearing or recurrent eye infections.",Perform tear duct massage for infants. Use antibiotic eye drops for infections. Conduct surgery (dacryocystorhinostomy) for severe cases.
Abscess of Nose,"Pain, swelling, redness, discharge from the nose","A localized collection of pus in the nasal tissues, often caused by bacterial infection.",Drain the abscess surgically. Administer antibiotics to treat infection. Apply warm compresses to reduce swelling.
Omphalitis,"Redness, swelling, discharge, foul odor around the umbilical area","An infection of the umbilical stump in newborns, causing redness, swelling, and discharge.",Administer systemic antibiotics. Perform surgical drainage if there is an abscess. Practice proper umbilical hygiene.
Leukemia,"Fatigue, pale skin, frequent infections, easy bleeding or bruising","A type of blood cancer affecting white blood cells, leading to anemia, fatigue, frequent infections, and bleeding.",Use chemotherapy as the primary treatment. Perform stem cell transplantation for eligible patients. Provide targeted therapies for specific leukemia subtypes.
Bell Palsy,"Facial weakness or paralysis, drooping of the mouth or eyelid","Sudden, temporary weakness or paralysis of facial muscles due to inflammation of the facial nerve.",Administer corticosteroids to reduce inflammation. Use antiviral medications if linked to a viral infection. Perform physical therapy for muscle recovery.
Conjunctivitis due to Allergy,"Redness, itching, watery discharge, swollen eyelids","Inflammation of the conjunctiva caused by an allergic reaction, leading to red, itchy, and watery eyes.",Use antihistamine or mast cell stabilizer eye drops. Apply cold compresses to relieve symptoms. Avoid allergens to prevent recurrence.
Drug Reaction,"Rash, itching, swelling, fever, respiratory symptoms","Adverse effects caused by a medication, ranging from mild rashes to severe reactions like anaphylaxis.","Discontinue the offending drug. Administer antihistamines or corticosteroids for mild to moderate reactions. Use epinephrine for severe, life-threatening reactions."
Adrenal Cancer,"Abdominal or back pain, unexplained weight loss, hormonal imbalances","A rare malignancy of the adrenal glands that may cause hormonal imbalances, weight gain, and high blood pressure.",Perform surgical removal of the adrenal gland (adrenalectomy). Use chemotherapy or radiation therapy for advanced cases. Administer medications to control hormone production.
Myopia,"Blurred distance vision, eyestrain, squinting",A refractive error where distant objects appear blurry due to elongation of the eyeball.,"Use corrective lenses like glasses or contact lenses. Perform refractive surgery (e.g., LASIK) for permanent correction. Practice orthokeratology (overnight lenses) for temporary reshaping of the cornea."
Osteoarthritis,"Joint pain, stiffness, swelling","A degenerative joint disease causing pain, stiffness, and reduced mobility due to cartilage breakdown.",Use pain relievers and anti-inflammatory medications. Perform physical therapy and low-impact exercises. Consider joint replacement surgery for severe cases.
Thyroid Disease,"Fatigue, weight changes, mood swings, dry skin","Disorders affecting the thyroid gland, such as hypothyroidism (underactive) or hyperthyroidism (overactive), leading to metabolic imbalances.",Administer thyroid hormone replacement therapy for hypothyroidism. Use antithyroid medications or radioactive iodine for hyperthyroidism. Perform thyroidectomy for severe cases.
Pharyngitis,"Sore throat, difficulty swallowing, swollen lymph nodes","Inflammation of the pharynx, often due to viral or bacterial infection, causing sore throat, fever, and difficulty swallowing.",Use throat lozenges and warm saline gargles for symptomatic relief. Administer antibiotics for bacterial infections. Rest and maintain hydration.
Chronic Rheumatic Fever,"Joint pain, fever, rash, heart inflammation","A complication of untreated streptococcal throat infection, leading to inflammation of the heart, joints, skin, and brain.",Use long-term antibiotics to prevent recurrence. Administer anti-inflammatory medications like aspirin. Perform valve repair or replacement for heart damage.
Hypocalcemia,"Numbness or tingling in fingers or around the mouth, muscle cramps","A condition of low calcium levels in the blood, leading to muscle cramps, tingling, and possible seizures.","Administer calcium supplements orally or intravenously. Treat the underlying cause, such as vitamin D deficiency. Monitor calcium and parathyroid hormone levels."
Macular Degeneration,"Blurred or distorted central vision, blind spots","A progressive eye condition affecting the central part of the retina (macula), leading to vision loss.",Use anti-VEGF injections for wet macular degeneration. Take vitamin and mineral supplements (AREDS formula) for dry macular degeneration. Perform laser therapy for specific cases.
Pneumonia,"Cough, fever, chest pain, difficulty breathing","Infection of the lungs caused by bacteria, viruses, or fungi, leading to inflammation of the alveoli, which fill with fluid or pus, causing fever, cough, and difficulty breathing.",Administer antibiotics for bacterial pneumonia. Use antiviral medications for viral pneumonia. Provide oxygen therapy and fluids for severe cases.
Cold Sore,"Small, painful blisters on the lips or around the mouth","A viral infection caused by herpes simplex virus (HSV), resulting in painful blisters on or around the lips.",Apply antiviral creams like acyclovir or penciclovir. Use oral antiviral medications for severe or recurrent cases. Apply cold compresses to reduce discomfort.
Premature Ventricular Contractions (PVCs),"Skipped or extra heartbeats, palpitations, lightheadedness","Extra, abnormal heartbeats originating in the ventricles, causing palpitations or an irregular heartbeat.",Avoid caffeine and stress triggers. Use beta-blockers for symptomatic cases. Perform catheter ablation for persistent or severe PVCs.
Chancroid,"Painful ulcers or sores on the genital area, swollen lymph nodes in the groin","A bacterial sexually transmitted infection caused by Haemophilus ducreyi, leading to painful genital ulcers and swollen lymph nodes.",Administer antibiotics such as azithromycin or ceftriaxone. Drain abscessed lymph nodes if necessary. Promote safe sexual practices to prevent reinfection.
Testicular Cancer,"Lump or swelling in the testicles, pain or discomfort, changes in testicular size or shape","A cancer that develops in the testicles, often presenting as a painless lump, swelling, or discomfort in the scrotum.",Perform surgery (orchiectomy) to remove the affected testicle. Use chemotherapy or radiation therapy for advanced stages. Regularly monitor with imaging and tumor markers.
Hydrocephalus,"Headache, nausea, vomiting, cognitive or developmental problems, enlarged head in infants","A condition characterized by the accumulation of cerebrospinal fluid (CSF) in the brain, leading to increased intracranial pressure and potential neurological damage.",Perform surgical placement of a shunt to drain excess CSF. Use endoscopic third ventriculostomy (ETV) as an alternative. Provide physical therapy to address neurological deficits.
Breast Cancer,"Breast lump, changes in breast size or shape, nipple changes, breast pain","A malignant tumor that develops in the breast tissue, often detected as a lump or changes in the breast's shape or texture.","Perform surgery (lumpectomy or mastectomy) to remove the tumor. Use chemotherapy, radiation therapy, or targeted therapy based on cancer type. Administer hormone therapy for hormone-sensitive tumors."
Anemia due to Malignancy,"Fatigue, weakness, shortness of breath, pale skin","A reduction in red blood cells caused by cancer or its treatment, leading to fatigue, pallor, and shortness of breath.",Treat the underlying malignancy. Administer iron supplements or erythropoiesis-stimulating agents. Perform blood transfusions for severe anemia.
Esophageal Varices,"Swollen blood vessels in the esophagus, vomiting blood, black, tarry stools","Enlarged veins in the esophagus caused by increased pressure in the portal vein, often due to liver cirrhosis, posing a risk of bleeding.",Use beta-blockers to reduce portal pressure. Perform endoscopic band ligation to prevent bleeding. Administer blood transfusions and vasopressors for active bleeding.
Endometrial Cancer,"Abnormal vaginal bleeding, pelvic pain or discomfort, changes in bowel or bladder habits","Cancer of the lining of the uterus, commonly presenting with abnormal uterine bleeding, especially after menopause.",Perform surgery (hysterectomy with or without lymph node removal). Use radiation therapy or chemotherapy for advanced stages. Administer hormone therapy for hormone-sensitive cancers.
Cystic Fibrosis,"Persistent cough with thick mucus, recurrent lung infections, poor growth or weight gain, salty-tasting skin","A genetic disorder affecting the lungs and digestive system due to thick mucus production, causing respiratory infections and malabsorption.",Use chest physiotherapy and mucus-thinning medications. Administer antibiotics for infections. Provide pancreatic enzyme supplements for digestion.
Intertrigo,"Red, raw, or inflamed skin in skin folds (such as armpits or groin), itching or burning sensation","Inflammation of skin folds caused by friction, moisture, and microbial growth, leading to redness, irritation, and discomfort.",Keep the affected area dry and clean. Apply antifungal or antibacterial creams for infections. Use barrier creams or powders to reduce friction.
Parathyroid Adenoma,"Fatigue, weakness, bone pain, frequent urination, kidney stones","A benign tumor of the parathyroid gland causing excessive production of parathyroid hormone (PTH), leading to hypercalcemia.",Perform surgery to remove the adenoma. Administer medications to manage hypercalcemia. Monitor calcium levels regularly.
Glucocorticoid Deficiency,"Fatigue, weakness, weight loss, low blood pressure, abdominal pain","A condition where the adrenal glands produce insufficient glucocorticoids, leading to fatigue, weight loss, and low blood pressure.","Administer glucocorticoid replacement therapy (e.g., hydrocortisone). Treat underlying causes such as adrenal gland damage or pituitary dysfunction. Monitor for adrenal crisis and treat with intravenous steroids."
Temporomandibular Joint Disorder,"Jaw pain or tenderness, clicking or popping sounds in the jaw joint, difficulty chewing or opening the mouth","Disorders affecting the temporomandibular joint (TMJ), causing jaw pain, difficulty chewing, and clicking sounds.",Use pain relievers or muscle relaxants. Apply heat or cold packs to relieve discomfort. Perform physical therapy or consider dental devices for jaw alignment.
Wilson Disease,"Fatigue, abdominal pain or swelling, jaundice, neurological symptoms (tremors, difficulty speaking or walking)","A rare genetic disorder causing copper accumulation in organs like the liver, brain, and eyes, leading to liver disease, neurological symptoms, and psychiatric issues.",Administer chelating agents like penicillamine or trientine to remove excess copper. Use zinc supplements to reduce copper absorption. Perform liver transplantation for severe liver damage.
Vesicoureteral Reflux,"Frequent urinary tract infections, urinary urgency or frequency, bedwetting (in children), high blood pressure (in severe cases)","A condition where urine flows backward from the bladder to the ureters and kidneys, increasing the risk of urinary infections and kidney damage.",Monitor mild cases with regular checkups and preventive antibiotics. Perform ureteral reimplantation surgery for severe cases. Encourage bladder training and voiding practices in children.
Vitamin A Deficiency,"Night blindness, dry eyes, dry or rough skin, poor wound healing, weakened immune system","A deficiency of vitamin A leading to symptoms like night blindness, dry eyes, and increased susceptibility to infections.","Provide vitamin A supplementation. Improve diet with vitamin A-rich foods like carrots, spinach, and fortified products. Treat associated infections promptly."
Gonorrhea,"Painful urination, abnormal discharge from the genitals, pelvic pain","A sexually transmitted infection caused by Neisseria gonorrhoeae, leading to genital, rectal, and throat infections with symptoms like discharge and painful urination.",Administer antibiotics such as ceftriaxone and azithromycin. Treat sexual partners to prevent reinfection. Promote safe sexual practices and regular screening.
Fracture of the Rib,"Chest pain, difficulty breathing, tenderness or swelling over the ribcage","A break in one of the rib bones, usually caused by trauma, leading to pain and difficulty breathing.","Use pain management techniques, such as NSAIDs or opioids. Encourage deep breathing exercises to prevent lung complications. Rarely, perform surgery for complex fractures."
Ependymoma,"Headaches, nausea, seizures, changes in coordination or balance",A rare type of brain or spinal cord tumor arising from ependymal cells lining the ventricles or central canal. Symptoms depend on tumor location.,Perform surgical resection to remove the tumor. Use radiation therapy to target remaining cells. Monitor for recurrence with regular imaging.
Hepatitis due to a Toxin,"Fatigue, jaundice, abdominal pain, nausea, vomiting","Liver inflammation caused by exposure to toxins like alcohol, drugs, or chemicals, resulting in jaundice, fatigue, and abdominal pain.","Discontinue exposure to the offending toxin. Provide supportive care, such as hydration and nutrition. Consider liver transplantation for severe liver damage."
Vaginal Cyst,"Small lump or swelling in the vaginal wall, discomfort or pain during intercourse","A fluid-filled sac in the vaginal wall, often asymptomatic but may cause discomfort or infection if large or irritated.","Monitor small, asymptomatic cysts. Drain or surgically remove larger or infected cysts. Administer antibiotics for infected cysts."
Chronic Knee Pain,"Persistent knee pain, stiffness, swelling, limited range of motion","Persistent pain in the knee due to conditions like arthritis, overuse, or injury, leading to reduced mobility and discomfort.",Use NSAIDs or corticosteroids for inflammation and pain relief. Perform physical therapy to strengthen surrounding muscles. Consider joint replacement surgery for severe cases.
Pinguecula,"Yellowish or white growth on the conjunctiva (eye's surface), usually near the cornea","A yellowish growth on the conjunctiva of the eye, typically caused by sun exposure or irritation, leading to redness and dryness.",Use lubricating eye drops for dryness. Administer anti-inflammatory drops for irritation. Surgically remove the pinguecula if it interferes with vision.
Hypergammaglobulinemia,"Elevated levels of gamma globulins in the blood, may be asymptomatic or associated with other underlying conditions","An elevated level of gamma globulins in the blood, often associated with chronic infections, autoimmune diseases, or malignancies.",Treat the underlying condition causing the abnormality. Provide immunosuppressive therapy for autoimmune causes. Monitor for complications like organ damage.
Pituitary Disorder,"Various symptoms depending on the specific disorder, including hormonal imbalances","Disorders affecting the pituitary gland, leading to hormone imbalances that can cause growth, metabolism, and reproductive issues.",Use hormone replacement therapy for deficiencies. Administer medications to shrink hormone-secreting tumors. Perform surgery or radiation therapy for pituitary tumors.
Kidney Stone,"Severe pain in the side or back, blood in the urine, frequent urination","Solid deposits of minerals and salts forming in the kidneys, causing pain, hematuria, and urinary obstruction.",Increase fluid intake to facilitate stone passage. Use pain relievers like NSAIDs. Perform lithotripsy or surgery for larger stones.
Autism,"Challenges with social interaction, communication difficulties, restricted interests or repetitive behaviors","A developmental disorder affecting communication, social interaction, and behavior, with symptoms appearing in early childhood.",Implement behavioral therapies like applied behavior analysis (ABA). Use medications to manage associated symptoms like anxiety or hyperactivity. Provide educational and social support tailored to individual needs.
Cat Scratch Disease,"Swollen lymph nodes, fever, fatigue, headache, rash","A bacterial infection caused by Bartonella henselae, transmitted through cat scratches or bites, leading to swollen lymph nodes and fever.","Use antibiotics like azithromycin for severe cases. Apply warm compresses to swollen lymph nodes. Provide supportive care, as many cases resolve on their own."
Chronic Glaucoma,"Gradual vision loss, peripheral vision impairment, eye pain or discomfort, halos around lights","A group of eye disorders characterized by damage to the optic nerve, often due to increased intraocular pressure, leading to gradual vision loss.","Use medications such as eye drops (prostaglandin analogs, beta-blockers) to reduce intraocular pressure. Perform laser therapy (e.g., trabeculoplasty) to improve fluid drainage. Undergo surgical procedures like trabeculectomy for advanced cases."
Retinal Detachment,"Floaters (spots or cobweb-like shapes in vision), flashes of light, curtain-like shadow over vision, sudden vision loss","A serious eye condition where the retina separates from the back of the eye, causing sudden vision changes, flashes, or floaters.",Perform laser surgery or cryopexy to seal retinal tears. Conduct scleral buckling surgery to reattach the retina. Use pneumatic retinopexy or vitrectomy for severe detachment.
Aplastic Anemia,"Fatigue, pale skin, frequent infections, shortness of breath, rapid or irregular heartbeats, prolonged bleeding or bruising","A rare condition where the bone marrow fails to produce sufficient blood cells, leading to fatigue, infections, and bleeding.","Perform bone marrow or stem cell transplantation. Use immunosuppressive therapy, such as antithymocyte globulin (ATG) and cyclosporine. Provide supportive care with blood transfusions and growth factor injections."
Overflow Incontinence,"Frequent or constant dribbling of urine, inability to completely empty the bladder, weak urine stream","A condition where the bladder cannot fully empty, leading to frequent dribbling of urine. Often caused by nerve damage or blockage.","Perform intermittent catheterization to empty the bladder. Use medications like alpha-blockers to improve urine flow. Address the underlying cause, such as prostate enlargement or pelvic organ prolapse."
Rabies,"Flu-like symptoms (fever, headache, fatigue), anxiety, confusion, hallucinations, difficulty swallowing","A viral infection transmitted through animal bites, causing neurological symptoms and almost always fatal if untreated.","Administer post-exposure prophylaxis (PEP) with rabies immunoglobulin and vaccines immediately after exposure. Provide supportive care for symptomatic patients, although prognosis is poor once symptoms appear."
Hemolytic Anemia,"Fatigue, weakness, pale skin, shortness of breath, jaundice","A condition where red blood cells are destroyed faster than they are produced, leading to fatigue, jaundice, and pallor.","Treat the underlying cause, such as infections or autoimmune disorders. Administer corticosteroids for autoimmune hemolysis. Use blood transfusions for severe cases."
Lateral Epicondylitis (Tennis Elbow),"Pain or tenderness on the outer side of the elbow, weak grip strength, difficulty with forearm movements","Inflammation or degeneration of the tendons around the elbow due to repetitive stress, causing pain and reduced grip strength.",Rest and avoid repetitive activities. Use nonsteroidal anti-inflammatory drugs (NSAIDs) for pain relief. Perform physical therapy and strengthening exercises. Consider corticosteroid injections or surgery for persistent cases.
Syphilis,"Primary stage: painless sores (chancre) at the site of infection, secondary stage: skin rash, fever, swollen lymph nodes, sore throat, latent stage: no symptoms, tertiary stage: severe complications affecting the heart, brain, and other organs","A sexually transmitted bacterial infection caused by Treponema pallidum, progressing through stages if untreated. Symptoms range from sores to systemic complications.",Administer penicillin G as the primary treatment. Use alternative antibiotics like doxycycline for penicillin-allergic patients. Conduct regular follow-up tests to confirm treatment success.
Diabetic Kidney Disease,"High blood pressure, increased need to urinate, swelling in the legs and ankles, fatigue, nausea, loss of appetite","Kidney damage resulting from long-term diabetes, characterized by proteinuria, reduced kidney function, and hypertension.",Control blood sugar levels with medications and lifestyle changes. Use ACE inhibitors or ARBs to manage blood pressure and protect kidney function. Adopt a low-protein diet to reduce kidney strain.
